Meal Name,Ingrediants,Cookbook,Chef,Dish Picture
Walnut Crusted Chicken,1/2 tsp ground cayenne pepper,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,Kosher salt and ground pepper,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,extra virgin olive oil for brushing,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1/2 cup honey,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,1 tablespoon Dijon mustard,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Walnut Crusted Chicken,4 ounces Brie cheese cut into small wedges,"Half Baked Harvest, p.166",Tieghan Gerard,https://www.pinterest.com/pin/the-half-baked-harvest-cookbook-11-bonus-under-30-minute-recipes-with-preorders--38280665567251302/
Browned Sage Butter Chicken Pop Pie,4 tbsp salted butter ,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 shallot chopped,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,2 tablesppons chopped fresh sage,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 tablesppon fresh thyme leaves,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1/3 cup all purpose flower,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,3 cups low sodium chicken broth,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 cup whole milk,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,Kosher salt and ground pepper,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,6 chopped carrots,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 cup broccoli florets,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 to 2 cup shredded rotisserie chicken,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1/4 cup fresh parsley,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 sheet frozen puff pastry,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
Browned Sage Butter Chicken Pop Pie,1 large egg,"Half Baked Harvest, p.173",Tieghan Gerard,https://www.pinterest.com/pin/browned-sagebutter-chicken-pot-pie-random-house-books--460352393168417739/
